timestamp;produto_base;nome_completo_raspado;preco;imagem_url;loja;url
2025-10-27 01:00:23.270974;RX 6600;Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6  - 90-GA2RZZ-00UANF;1499.99;https://images4.kabum.com.br/produtos/fotos/235984/placa-de-video-asrock-amd-radeon-rx-6600-cld-8g-8gb-90-ga2rzz-00uanf_1634738812_gg.jpg;Kabum;https://www.kabum.com.br/produto/235984/placa-de-video-rx-6600-cld-8g-asrock-amd-radeon-8gb-gddr6-90-ga2rzz-00uanf
2025-10-27 01:00:23.270974;RX 6600;Placa de Video ASRock Radeon RX 6600 Challenger D, 8GB, GDDR6, 128-Bit, 90-GA2RZZ-00UANF;1499.99;https://media.pichau.com.br/media/catalog/product/cache/2f958555330323e505eba7ce930bdf27/r/x/rx6600-cld-8g3.jpg;Pichau;https://pichau.com.br/placa-de-video-asrock-radeon-rx-6600-challenger-d-8gb-gddr6-128-bit-90-ga2rzz-00uanf
2025-10-27 01:00:23.270974;RX 6600;Placa de Vídeo ASRock Radeon RX 6600 Challenger D, 8GB, GDDR6, FSR, Ray Tracing, 90-GA2RZZ-00UANF;1499.9;https://img.terabyteshop.com.br/produto/g/placa-de-video-asrock-radeon-rx-6600-challenger-d-8gb-gddr6-fsr-ray-tracing-90-ga2rzz-00uanf_133352.jpg;Terabyte;https://www.terabyteshop.com.br/produto/19808/placa-de-video-asrock-radeon-rx-6600-challenger-d-8gb-gddr6-fsr-ray-tracing-90-ga2rzz-00uanf
2025-10-27 01:00:23.270974;RTX 4070;Placa De Vídeo Zotac Gaming, Geforce Rtx 4070 Twin Edge, 12GB, Gddr6x - ZT-D40700E-10M;4599.9;https://images9.kabum.com.br/produtos/fotos/sync_mirakl/461699/xlarge/Placa-De-V-deo-Zotac-Gaming-Geforce-Rtx-4070-Twin-Edge-12GB-Gddr6x-ZT-D40700E-10M_1758387274.jpg;Kabum;https://www.kabum.com.br/produto/461699/placa-de-video-rtx-4070-windforce-oc-gigabyte-geforce-12gb-gddr6x-dlss-ray-tracing-gv-n4070wf3oc-12gd
2025-10-27 01:00:23.270974;RTX 4070;Placa De Video Gigabyte GeForce RTX 4070 Super Windforce OC, 12GB, GDDR6X, 192-bit, GV-N407SWF3OC-12GD;4699.99;https://media.pichau.com.br/media/catalog/product/cache/2f958555330323e505eba7ce930bdf27/g/v/gv-n407swf3oc-12gd2.jpg;Pichau;https://pichau.com.br/placa-de-video-gigabyte-geforce-rtx-4070-super-windforce-oc-12gb-gddr6x-192-bit-gv-n407swf3oc-12gd
2025-10-27 01:00:23.270974;RTX 4070;Placa De Video Gigabyte GeForce RTX 4070 Eagle OC, 12GB, GDDR6X, DLSS, Ray Tracing, GV-N4070EAGLE OC-12GD;0.0;https://img.terabyteshop.com.br/produto/g/placa-de-video-gigabyte-geforce-rtx-4070-eagle-oc-12gb-gddr6x-dlss-ray-tracing-gv-n4070eagle-oc-12gd_166417.jpg;Terabyte;https://www.terabyteshop.com.br/produto/24479/placa-de-video-gigabyte-geforce-rtx-4070-eagle-oc-12gb-gddr6x-dlss-ray-tracing-gv-n4070eagle-oc-12gd
2025-10-27 01:32:58.119193;RX 6600;Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6  - 90-GA2RZZ-00UANF;1499.99;https://images4.kabum.com.br/produtos/fotos/235984/placa-de-video-asrock-amd-radeon-rx-6600-cld-8g-8gb-90-ga2rzz-00uanf_1634738812_gg.jpg;Kabum;https://www.kabum.com.br/produto/235984/placa-de-video-rx-6600-cld-8g-asrock-amd-radeon-8gb-gddr6-90-ga2rzz-00uanf
2025-10-27 01:32:58.119193;RX 6600;Placa de Video ASRock Radeon RX 6600 Challenger D, 8GB, GDDR6, 128-Bit, 90-GA2RZZ-00UANF;1499.99;https://media.pichau.com.br/media/catalog/product/cache/2f958555330323e505eba7ce930bdf27/r/x/rx6600-cld-8g3.jpg;Pichau;https://pichau.com.br/placa-de-video-asrock-radeon-rx-6600-challenger-d-8gb-gddr6-128-bit-90-ga2rzz-00uanf
2025-10-27 01:32:58.119193;RX 6600;Placa de Vídeo ASRock Radeon RX 6600 Challenger D, 8GB, GDDR6, FSR, Ray Tracing, 90-GA2RZZ-00UANF;1499.9;https://img.terabyteshop.com.br/produto/g/placa-de-video-asrock-radeon-rx-6600-challenger-d-8gb-gddr6-fsr-ray-tracing-90-ga2rzz-00uanf_133352.jpg;Terabyte;https://www.terabyteshop.com.br/produto/19808/placa-de-video-asrock-radeon-rx-6600-challenger-d-8gb-gddr6-fsr-ray-tracing-90-ga2rzz-00uanf
2025-10-27 01:32:58.119193;RTX 4070;Placa De Vídeo Zotac Gaming, Geforce Rtx 4070 Twin Edge, 12GB, Gddr6x - ZT-D40700E-10M;4599.9;https://images9.kabum.com.br/produtos/fotos/sync_mirakl/461699/xlarge/Placa-De-V-deo-Zotac-Gaming-Geforce-Rtx-4070-Twin-Edge-12GB-Gddr6x-ZT-D40700E-10M_1758387274.jpg;Kabum;https://www.kabum.com.br/produto/461699/placa-de-video-rtx-4070-windforce-oc-gigabyte-geforce-12gb-gddr6x-dlss-ray-tracing-gv-n4070wf3oc-12gd
2025-10-27 01:32:58.119193;RTX 4070;Placa De Video Gigabyte GeForce RTX 4070 Super Windforce OC, 12GB, GDDR6X, 192-bit, GV-N407SWF3OC-12GD;4699.99;https://media.pichau.com.br/media/catalog/product/cache/2f958555330323e505eba7ce930bdf27/g/v/gv-n407swf3oc-12gd2.jpg;Pichau;https://pichau.com.br/placa-de-video-gigabyte-geforce-rtx-4070-super-windforce-oc-12gb-gddr6x-192-bit-gv-n407swf3oc-12gd
2025-10-27 01:32:58.119193;RTX 4070;Placa De Video Gigabyte GeForce RTX 4070 Eagle OC, 12GB, GDDR6X, DLSS, Ray Tracing, GV-N4070EAGLE OC-12GD;0.0;https://img.terabyteshop.com.br/produto/g/placa-de-video-gigabyte-geforce-rtx-4070-eagle-oc-12gb-gddr6x-dlss-ray-tracing-gv-n4070eagle-oc-12gd_166417.jpg;Terabyte;https://www.terabyteshop.com.br/produto/24479/placa-de-video-gigabyte-geforce-rtx-4070-eagle-oc-12gb-gddr6x-dlss-ray-tracing-gv-n4070eagle-oc-12gd
